,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,96.97,57.45,0.625,1,4135.434896,0.00,100.00,Calm
1,89.47,37.64,0.58823529411765,4,5145.361246,25.00,75.00,Tap
2,89.19,53.96,0.60606060606061,4,4338.035622,50.00,50.00,Tap
3,86.49,45.12,0.625,5,4215.138657,20.00,80.00,Tap
4,89.19,53.52,0.60606060606061,4,4608.722623,75.00,25.00,Tap
5,89.74,43.78,0.57142857142857,4,5421.747077,50.00,50.00,Tap
6,100.0,49.23,0.625,0,3448.76198,0.00,0.00,Calm
7,97.3,55.23,0.55555555555556,1,3567.938427,0.00,100.00,Calm
8,92.11,47.4,0.57142857142857,3,3347.737305,0.00,100.00,Tap
9,92.11,46.0,0.57142857142857,3,3911.960784,0.00,100.00,Tap
10,86.84,52.76,0.60606060606061,5,4336.811675,20.00,80.00,Tap
11,84.62,53.41,0.60606060606061,6,3963.328765,50.00,50.00,Tap
12,94.29,55.81,0.60606060606061,2,3779.122385,0.00,100.00,Calm
13,82.5,49.86,0.60606060606061,7,4069.613862,14.29,85.71,Spray
14,100.0,60.02,0.54054054054054,0,3244.572685,0.00,0.00,Calm
15,100.0,60.56,0.52631578947368,0,3120.103363,0.00,0.00,Calm
16,97.37,61.26,0.54054054054054,1,4107.187028,100.00,0.00,Calm
17,100.0,55.83,0.51282051282051,0,3361.82508,0.00,0.00,Calm
18,90.0,61.75,0.55555555555556,4,3702.85082,50.00,50.00,Tap
19,94.87,63.17,0.54054054054054,2,3619.604337,50.00,50.00,Calm
20,97.44,52.9,0.52631578947368,1,3361.315883,100.00,0.00,Calm
21,94.59,60.46,0.57142857142857,2,4312.415642,100.00,0.00,Tap
22,95.12,61.74,0.51282051282051,2,3108.983148,50.00,50.00,Calm
23,100.0,62.9,0.54054054054054,0,3578.293157,0.00,0.00,Calm
24,95.24,56.67,0.5,2,3954.220154,100.00,0.00,Calm
25,90.38,48.7,0.42553191489362,5,4255.754317,0.00,100.00,Tap
26,86.79,55.04,0.43478260869565,7,4108.351915,42.86,57.14,Tap
27,96.08,48.97,0.40816326530612,2,3631.584087,0.00,100.00,Calm
28,87.5,45.34,0.40816326530612,7,4952.920769,57.14,42.86,Reaction
29,72.73,47.81,0.5,15,4006.729901,46.67,53.33,Flick
30,88.46,49.83,0.43478260869565,6,3441.47816,33.33,66.67,Tap
31,94.12,52.03,0.41666666666667,3,3822.02523,33.33,66.67,Calm
32,92.31,49.87,0.41666666666667,4,3710.060608,50.00,50.00,Reaction
33,90.2,55.37,0.43478260869565,5,3768.343596,40.00,60.00,Tap
34,89.36,51.18,0.47619047619048,5,4008.191473,60.00,40.00,Tap
35,95.74,43.08,0.44444444444444,2,4133.832655,100.00,0.00,Tap
36,94.74,51.03,0.55555555555556,2,3778.174267,0.00,100.00,Calm
37,100.0,54.26,0.57142857142857,0,5265.748267,0.00,0.00,Calm
38,97.44,52.75,0.52631578947368,1,3997.864149,0.00,100.00,Calm
39,90.24,55.61,0.54054054054054,4,4058.304321,0.00,100.00,Calm
40,91.11,53.55,0.48780487804878,4,3511.155309,50.00,50.00,Tap
41,90.91,46.09,0.5,4,3903.536948,50.00,50.00,Tap
42,95.35,57.39,0.48780487804878,2,3841.917629,100.00,0.00,Tap
