,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,100.0%,60.0184822102656%,0.54054054054054ms,0,3244.5726854479,nan%,nan%
0,100.0%,60.5578268044873%,0.52631578947368ms,0,3120.10336303711,nan%,nan%
0,97.3684210526316%,61.2560222881871%,0.54054054054054ms,1,4107.18702821474,100.0%,0.0%
0,100.0%,55.8345698775389%,0.51282051282051ms,0,3361.8250795022,nan%,nan%
0,90.0%,61.7510058813625%,0.55555555555556ms,4,3702.8508199056,50.0%,50.0%
0,94.8717948717949%,63.167494889097%,0.54054054054054ms,2,3619.60433712521,50.0%,50.0%
0,97.4358974358974%,52.9044249732243%,0.52631578947368ms,1,3361.31588263261,100.0%,0.0%
0,94.5945945945946%,60.4622007267816%,0.57142857142857ms,2,4312.41564243862,100.0%,0.0%
0,95.1219512195122%,61.7357425343914%,0.51282051282051ms,2,3108.98314803686,50.0%,50.0%
0,100.0%,62.8986228760835%,0.54054054054054ms,0,3578.29315680427,nan%,nan%
