,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,95.2380952380952%,56.6667953506112%,0.5ms,2,3954.22015380859,100.0%,0.0%
0,90.3846153846154%,48.7005131200273%,0.42553191489362ms,5,4255.75431661403,0.0%,100.0%
0,86.7924528301887%,55.0364961361756%,0.43478260869565ms,7,4108.35191544243,42.8571428571429%,57.1428571428571%
0,96.078431372549%,48.9709838692631%,0.40816326530612ms,2,3631.58408651547,0.0%,100.0%
0,87.5%,45.3371446351616%,0.40816326530612ms,7,4952.92076889349,57.1428571428571%,42.8571428571429%
0,72.7272727272727%,47.8063735086471%,0.5ms,15,4006.72990112305,46.6666666666667%,53.3333333333333%
0,88.4615384615385%,49.8298627364895%,0.43478260869565ms,6,3441.47816002887,33.3333333333333%,66.6666666666667%
0,94.1176470588235%,52.0337122492492%,0.41666666666667ms,3,3822.02523040771,33.3333333333333%,66.6666666666667%
0,92.3076923076923%,49.8671253522237%,0.41666666666667ms,4,3710.06060791016,50.0%,50.0%
0,90.1960784313726%,55.370024283943%,0.43478260869565ms,5,3768.34359608526,40.0%,60.0%
0,89.3617021276596%,51.1789830224145%,0.47619047619048ms,5,4008.19147309803,60.0%,40.0%
0,95.7446808510638%,43.0815914935536%,0.44444444444444ms,2,4133.83265516493,100.0%,0.0%
