,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,94.7368421052632%,51.0328611565961%,0.55555555555556ms,2,3778.17426681519,0.0%,100.0%
0,100.0%,54.2589009074228%,0.57142857142857ms,0,5265.74826660156,nan%,nan%
0,97.4358974358974%,52.7482451576936%,0.52631578947368ms,1,3997.86414859169,0.0%,100.0%
0,90.2439024390244%,55.605409727306%,0.54054054054054ms,4,4058.30432128906,0.0%,100.0%
0,91.1111111111111%,53.5503194099519%,0.48780487804878ms,4,3511.1553091654,50.0%,50.0%
0,90.9090909090909%,46.0883788950741%,0.5ms,4,3903.53694763184,50.0%,50.0%
0,95.3488372093023%,57.3902445595439%,0.48780487804878ms,2,3841.91762933498,100.0%,0.0%
0,91.4893617021277%,48.283804519925%,0.46511627906977ms,4,3984.62269201944,75.0%,25.0%
0,89.5833333333333%,51.4028967813004%,0.46511627906977ms,5,3796.32930312046,40.0%,60.0%
0,90.6976744186046%,57.8475386095353%,0.51282051282051ms,4,4117.74201847957,50.0%,50.0%
