,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,97.4358974358974%,51.6152225238712%,0.52631578947368ms,1,4441.21133262233,100.0%,0.0%
0,95.0%,54.3051729664991%,0.52631578947368ms,2,4246.15824167352,50.0%,50.0%
0,87.5%,63.4377683605999%,0.57142857142857ms,5,5176.82252720424,60.0%,40.0%
0,97.5609756097561%,52.5576964020729%,0.5ms,1,4681.26704406738,100.0%,0.0%
0,86.3636363636364%,56.0815460195667%,0.52631578947368ms,6,4599.8396237022,50.0%,50.0%
0,92.3076923076923%,53.3225016461478%,0.55555555555556ms,3,4725.13114420573,33.3333333333333%,66.6666666666667%
0,85.7142857142857%,61.6091835312545%,0.55555555555556ms,6,4101.96432834201,66.6666666666667%,33.3333333333333%
0,87.1794871794872%,64.3155259025447%,0.58823529411765ms,5,4444.42167394301,100.0%,0.0%
0,85.0%,57.5693231295137%,0.58823529411765ms,6,4727.84376795152,80.0%,20.0%
0,85.1063829787234%,46.7521778121591%,0.5ms,7,4116.60099487305,100.0%,0.0%
