,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,100.0%,58.9586904441768%,1.81818181818182ms,0,1421.95449274237,nan%,nan%
0,88.4615384615385%,57.248799810591%,0.8695652173913ms,3,2482.05919614046,66.6666666666667%,33.3333333333333%
0,100.0%,62.6838771833314%,1.11111111111111ms,0,1967.91385565864,nan%,nan%
0,88.8888888888889%,43.6032172292471%,2.5ms,1,5718.6354675293,100.0%,0.0%
0,95.8333333333333%,54.2575060673382%,0.8695652173913ms,1,2739.01019021739,100.0%,0.0%
0,100.0%,57.7219002569715%,0.83333333333333ms,0,2661.83721160889,nan%,nan%
0,92.5925925925926%,54.5473250746727%,0.8ms,2,2391.66535644531,50.0%,50.0%
0,100.0%,55.3142268657684%,0.8ms,0,2431.70638671875,nan%,nan%
0,96.1538461538462%,58.7572754323483%,0.8ms,1,2715.62748535156,0.0%,100.0%
0,100.0%,62.6053283994015%,0.76923076923077ms,0,2440.15086482121,nan%,nan%
