,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot
0,97.8260869565217%,50.6883378823598%,0.44444444444444ms,1,4324.85762261285,0.0%,100.0%
0,92.3076923076923%,50.2654778693492%,0.41666666666667ms,4,3917.89233144124,75.0%,25.0%
0,83.0188679245283%,47.2106729041446%,0.45454545454545ms,9,4631.18590198864,55.5555555555556%,44.4444444444444%
0,88.4615384615385%,48.8941330138756%,0.43478260869565ms,6,3935.12000042459,83.3333333333333%,16.6666666666667%
0,91.8367346938776%,51.1878481962615%,0.44444444444444ms,4,4132.33827311198,50.0%,50.0%
0,96.1538461538462%,45.155552893877%,0.4ms,2,4822.679921875,50.0%,50.0%
0,76.7857142857143%,48.1716544995474%,0.46511627906977ms,13,4667.60287972384,46.1538461538462%,53.8461538461538%
0,84.9056603773585%,46.8199475771851%,0.44444444444444ms,8,4952.73853081597,37.5%,62.5%
0,83.0188679245283%,46.8360657549717%,0.45454545454545ms,9,4580.66329678622,66.6666666666667%,33.3333333333333%
0,76.7857142857143%,47.1248116950656%,0.46511627906977ms,13,4437.89902514081,30.7692307692308%,69.2307692307692%
0,88.8888888888889%,55.1902371303489%,0.41666666666667ms,6,4510.66812133789,66.6666666666667%,33.3333333333333%
0,90.1960784313726%,56.8792487616124%,0.43478260869565ms,5,4609.95237930961,80.0%,20.0%
0,83.3333333333333%,50.8073299378157%,0.44444444444444ms,9,4328.12656792535,55.5555555555556%,44.4444444444444%
0,87.2727272727273%,45.0073834508657%,0.41666666666667ms,7,4525.9281539917,42.8571428571429%,57.1428571428571%
0,88.2352941176471%,46.4534406612317%,0.44444444444444ms,6,4514.34513617622,33.3333333333333%,66.6666666666667%
0,92.3076923076923%,53.7102759970973%,0.41666666666667ms,4,4545.53011576335,25.0%,75.0%
0,86.7924528301887%,46.2029569822809%,0.43478260869565ms,7,4240.90118938944,28.5714285714286%,71.4285714285714%
0,85.7142857142857%,55.7413939564001%,0.47619047619048ms,7,4177.30619303385,57.1428571428571%,42.8571428571429%
0,85.7142857142857%,49.2149233507613%,0.41666666666667ms,8,4349.65485636393,50.0%,50.0%
0,88.6792452830189%,57.7569774015153%,0.42553191489362ms,6,4519.39024060838,66.6666666666667%,33.3333333333333%
