,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,96.97%,57.45%,0.625ms,1,4135.434896,0.00%,100.00%,Calm
0,89.47%,37.64%,0.58823529411765ms,4,5145.361246,25.00%,75.00%,Tap
0,89.19%,53.96%,0.60606060606061ms,4,4338.035622,50.00%,50.00%,Tap
0,86.49%,45.12%,0.625ms,5,4215.138657,20.00%,80.00%,Tap
0,89.19%,53.52%,0.60606060606061ms,4,4608.722623,75.00%,25.00%,Tap
0,89.74%,43.78%,0.57142857142857ms,4,5421.747077,50.00%,50.00%,Tap
0,100.00%,49.23%,0.625ms,0,3448.76198,nan%,nan%,Calm
0,97.30%,55.23%,0.55555555555556ms,1,3567.938427,0.00%,100.00%,Calm
0,92.11%,47.40%,0.57142857142857ms,3,3347.737305,0.00%,100.00%,Tap
0,92.11%,46.00%,0.57142857142857ms,3,3911.960784,0.00%,100.00%,Tap
0,86.84%,52.76%,0.60606060606061ms,5,4336.811675,20.00%,80.00%,Tap
0,84.62%,53.41%,0.60606060606061ms,6,3963.328765,50.00%,50.00%,Tap
0,94.29%,55.81%,0.60606060606061ms,2,3779.122385,0.00%,100.00%,Calm
0,82.50%,49.86%,0.60606060606061ms,7,4069.613862,14.29%,85.71%,Spray
