,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,95.24%,56.67%,0.5ms,2,3954.220154,100.00%,0.00%,Calm
0,90.38%,48.70%,0.42553191489362ms,5,4255.754317,0.00%,100.00%,Tap
0,86.79%,55.04%,0.43478260869565ms,7,4108.351915,42.86%,57.14%,Tap
0,96.08%,48.97%,0.40816326530612ms,2,3631.584087,0.00%,100.00%,Calm
0,87.50%,45.34%,0.40816326530612ms,7,4952.920769,57.14%,42.86%,Reaction
0,72.73%,47.81%,0.5ms,15,4006.729901,46.67%,53.33%,Flick
0,88.46%,49.83%,0.43478260869565ms,6,3441.47816,33.33%,66.67%,Tap
0,94.12%,52.03%,0.41666666666667ms,3,3822.02523,33.33%,66.67%,Calm
0,92.31%,49.87%,0.41666666666667ms,4,3710.060608,50.00%,50.00%,Reaction
0,90.20%,55.37%,0.43478260869565ms,5,3768.343596,40.00%,60.00%,Tap
0,89.36%,51.18%,0.47619047619048ms,5,4008.191473,60.00%,40.00%,Tap
0,95.74%,43.08%,0.44444444444444ms,2,4133.832655,100.00%,0.00%,Tap
