,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,94.74%,51.03%,0.55555555555556ms,2,3778.174267,0.00%,100.00%,Calm
0,100.00%,54.26%,0.57142857142857ms,0,5265.748267,nan%,nan%,Calm
0,97.44%,52.75%,0.52631578947368ms,1,3997.864149,0.00%,100.00%,Calm
0,90.24%,55.61%,0.54054054054054ms,4,4058.304321,0.00%,100.00%,Calm
0,91.11%,53.55%,0.48780487804878ms,4,3511.155309,50.00%,50.00%,Tap
0,90.91%,46.09%,0.5ms,4,3903.536948,50.00%,50.00%,Tap
0,95.35%,57.39%,0.48780487804878ms,2,3841.917629,100.00%,0.00%,Tap
0,91.49%,48.28%,0.46511627906977ms,4,3984.622692,75.00%,25.00%,Tap
0,89.58%,51.40%,0.46511627906977ms,5,3796.329303,40.00%,60.00%,Tap
0,90.70%,57.85%,0.51282051282051ms,4,4117.742018,50.00%,50.00%,Calm
