,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,97.44%,51.62%,0.52631578947368ms,1,4441.211333,100.00%,0.00%,Calm
0,95.00%,54.31%,0.52631578947368ms,2,4246.158242,50.00%,50.00%,Calm
0,87.50%,63.44%,0.57142857142857ms,5,5176.822527,60.00%,40.00%,Tap
0,97.56%,52.56%,0.5ms,1,4681.267044,100.00%,0.00%,Calm
0,86.36%,56.08%,0.52631578947368ms,6,4599.839624,50.00%,50.00%,Tap
0,92.31%,53.32%,0.55555555555556ms,3,4725.131144,33.33%,66.67%,Calm
0,85.71%,61.61%,0.55555555555556ms,6,4101.964328,66.67%,33.33%,Tap
0,87.18%,64.32%,0.58823529411765ms,5,4444.421674,100.00%,0.00%,Calm
0,85.00%,57.57%,0.58823529411765ms,6,4727.843768,80.00%,20.00%,Tap
0,85.11%,46.75%,0.5ms,7,4116.600995,100.00%,0.00%,Tap
