,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,79.55%,57.09%,0.57142857142857ms,9,3773.023908,22.22%,77.78%,Spray
0,85.11%,48.26%,0.5ms,7,4586.620789,42.86%,57.14%,Tap
0,83.67%,52.16%,0.48780487804878ms,8,4035.676091,25.00%,75.00%,Tap
0,82.61%,44.88%,0.52631578947368ms,8,4332.564164,12.50%,87.50%,Tap
0,82.61%,50.42%,0.52631578947368ms,8,4429.688885,75.00%,25.00%,Tap
0,80.00%,42.13%,0.5ms,10,4133.527867,10.00%,90.00%,Spray
0,73.21%,49.89%,0.48780487804878ms,15,4640.813274,46.67%,53.33%,Spray
0,76.92%,42.41%,0.5ms,12,4570.534142,41.67%,58.33%,Spray
0,72.73%,35.77%,0.5ms,15,5220.95954,40.00%,60.00%,Spray
0,76.00%,53.47%,0.52631578947368ms,12,4584.677574,41.67%,58.33%,Spray
0,75.93%,41.07%,0.48780487804878ms,13,4749.153871,46.15%,53.85%,Spray
0,74.07%,51.98%,0.5ms,14,4231.123892,21.43%,78.57%,Spray
