,Accuracy,Avg Precision,Avg Reaction Time,Missed Shots,Avg Max Mouse Speed,Overshoot,Undershoot,Label
0,97.83%,50.69%,0.44444444444444ms,1,4324.857623,0.00%,100.00%,Tap
0,92.31%,50.27%,0.41666666666667ms,4,3917.892331,75.00%,25.00%,Reaction
0,83.02%,47.21%,0.45454545454545ms,9,4631.185902,55.56%,44.44%,Flick
0,88.46%,48.89%,0.43478260869565ms,6,3935.12,83.33%,16.67%,Tap
0,91.84%,51.19%,0.44444444444444ms,4,4132.338273,50.00%,50.00%,Tap
0,96.15%,45.16%,0.4ms,2,4822.679922,50.00%,50.00%,Reaction
0,76.79%,48.17%,0.46511627906977ms,13,4667.60288,46.15%,53.85%,Flick
0,84.91%,46.82%,0.44444444444444ms,8,4952.738531,37.50%,62.50%,Flick
0,83.02%,46.84%,0.45454545454545ms,9,4580.663297,66.67%,33.33%,Flick
0,76.79%,47.12%,0.46511627906977ms,13,4437.899025,30.77%,69.23%,Flick
0,88.89%,55.19%,0.41666666666667ms,6,4510.668121,66.67%,33.33%,Reaction
0,90.20%,56.88%,0.43478260869565ms,5,4609.952379,80.00%,20.00%,Tap
0,83.33%,50.81%,0.44444444444444ms,9,4328.126568,55.56%,44.44%,Tap
0,87.27%,45.01%,0.41666666666667ms,7,4525.928154,42.86%,57.14%,Reaction
0,88.24%,46.45%,0.44444444444444ms,6,4514.345136,33.33%,66.67%,Flick
0,92.31%,53.71%,0.41666666666667ms,4,4545.530116,25.00%,75.00%,Tap
0,86.79%,46.20%,0.43478260869565ms,7,4240.901189,28.57%,71.43%,Flick
0,85.71%,55.74%,0.47619047619048ms,7,4177.306193,57.14%,42.86%,Tap
0,85.71%,49.21%,0.41666666666667ms,8,4349.654856,50.00%,50.00%,Reaction
0,88.68%,57.76%,0.42553191489362ms,6,4519.390241,66.67%,33.33%,Tap
